empno,ENAME,JOB,HIREDATE,MGR,SAL,COMM,DEPTNO
7369,SMITH,CLERK,1980-12-17,7902,800.00,NULL,20
7499,ALLEN,SALESMAN,1981-02-20,7698,1600.00,300.00,30
7521,WARD,SALESMAN,1981-02-22,7698,1250.00,500.00,30
7566,JONES,MANAGER,1981-04-02,7839,2975.00,NULL,20
7654,MARTIN,SALESMAN,1981-09-28,7698,1250.00,1400.00,30
7698,BLAKE,MANAGER,1981-05-01,7839,2850.00,NULL,30
7782,CLARK,MANAGER,1981-06-09,7839,2450.00,NULL,10
7788,SCOTT,ANALYST,1987-04-19,7566,3000.00,NULL,20
7839,KING,PRESIDENT,1981-11-17,NULL,5000.00,NULL,10
7844,TURNER,SALESMAN,1981-09-08,7698,1500.00,0.00,30
7876,ADAMS,CLERK,1987-05-23,7788,1100.00,NULL,20
7900,JAMES,CLERK,1981-12-03,7698,950.00,NULL,34
7902,FORD,ANALYST,1981-12-03,7566,3000.00,NULL,20
7934,MILLER,CLERK,1982-01-23,7782,1300.00,NULL,10
101,ALLEN,SALESMAN,2024-01-10,NULL,1600.00,NULL,30
200,"  shannu  ",salesman,2025-01-10,NULL,2000.00,NULL,30
103,MARTIN,SALESMAN,2024-03-01,NULL,1250.00,NULL,30
103,MARTIN,SALESMAN,2024-03-01,NULL,1250.00,NULL,30
103,MARTIN,SALESMAN,2024-03-01,NULL,1250.00,NULL,30
102,WARD,SALESMAN,2024-02-15,NULL,1250.00,NULL,30
